z,symbol,name,zovera,i,density,ionization energy
1,H,Hydrogen,0.99212,19.2,8.38E-05,13.59843449
2,He,Helium,0.49968,41.8,1.66E-04,24.5873888
3,Li,Lithium,0.43221,40,5.34E-01,5.39171495
4,Be,Beryllium,0.44384,63.7,1.85E+00,9.322699
5,B,Boron,0.46245,76,2.37E+00,8.298019
6,C,Carbon,0.49954,78,1.70E+00,11.260288
7,N,Nitrogen,0.49976,82,1.17E-03,14.534
8,O,Oxygen,0.50002,95,1.33E-03,13.618
9,F,Fluorine,0.47372,115,1.58E-03,17.423
10,Ne,Neon,0.49555,137,8.39E-04,21.565
11,Na,Sodium,0.47847,149,9.71E-01,5.139
12,Mg,Magnesium,0.49373,156,1.74E+00,7.646
13,Al,Aluminum,0.48181,166,2.70E+00,5.986
14,Si,Silicon,0.49848,173,2.33E+00,8.152
15,P,Phosphorus,0.48428,173,2.20E+00,10.487
16,S,Sulfur,0.49897,180,2.00E+00,10.36
17,Cl,Chlorine,0.47951,174,3.00E-03,12.968
18,Ar,Argon,0.45059,188,1.66E-03,15.76
19,K,Potassium,0.48595,190,8.62E-01,4.341
20,Ca,Calcium,0.49903,191,1.55E+00,6.113
21,Sc,Scandium,0.46712,216,2.99E+00,6.562
22,Ti,Titanium,0.45948,233,4.54E+00,6.828
23,V,Vanadium,0.4515,245,6.11E+00,6.746
24,Cr,Chromium,0.46157,257,7.18E+00,6.766
25,Mn,Manganese,0.45506,272,7.44E+00,7.434
26,Fe,Iron,0.46556,286,7.87E+00,7.902
27,Co,Cobalt,0.45815,297,8.90E+00,7.881
28,Ni,Nickel,0.47708,311,8.90E+00,7.64
29,Cu,Copper,0.45636,322,8.96E+00,7.726
30,Zn,Zinc,0.45879,330,7.13E+00,9.394
31,Ga,Gallium,0.44462,334,5.90E+00,5.999
32,Ge,Germanium,0.44071,350,5.32E+00,7.899
33,As,Arsenic,0.44046,347,5.73E+00,9.789
34,Se,Selenium,0.4306,348,4.50E+00,9.752
35,Br,Bromine,0.43803,343,7.07E-03,11.814
36,Kr,Krypton,0.42959,352,3.48E-03,14
37,Rb,Rubidium,0.43291,363,1.53E+00,4.177
38,Sr,Strontium,0.43369,366,2.54E+00,5.695
39,Y,Yttrium,0.43867,379,4.47E+00,6.217
40,Zr,Zirconium,0.43848,393,6.51E+00,6.634
41,Nb,Niobium,0.4413,417,8.57E+00,6.759
42,Mo,Molybdenum,0.43777,424,1.02E+01,7.092
43,Tc,Technetium,0.43919,428,1.15E+01,7.28
44,Ru,Ruthenium,0.43534,441,1.24E+01,7.36
45,Rh,Rhodium,0.43729,449,1.24E+01,7.459
46,Pd,Palladium,0.43225,470,1.20E+01,8.337
47,Ag,Silver,0.43572,470,1.05E+01,7.576
48,Cd,Cadmium,0.427,469,8.65E+00,8.994
49,In,Indium,0.42676,488,7.31E+00,5.786
50,Sn,Tin,0.4212,488,7.31E+00,7.344
51,Sb,Antimony,0.41889,487,6.69E+00,8.608
52,Te,Tellurium,0.40752,485,6.24E+00,9.01
53,I,Iodine,0.41764,491,4.93E+00,10.451
54,Xe,Xenon,0.4113,482,5.49E-03,12.13
55,Cs,Cesium,0.41383,488,1.87E+00,3.894
56,Ba,Barium,0.40779,491,3.50E+00,5.212
57,La,Lanthanum,0.41035,501,6.15E+00,5.577
58,Ce,Cerium,0.41395,523,6.66E+00,5.539
59,Pr,Praseodymium,0.41871,535,6.71E+00,5.473
60,Nd,Neodymium,0.41597,546,6.90E+00,5.525
61,Pm,Promethium,0.42094,560,7.22E+00,5.582
62,Sm,Samarium,0.41234,574,7.46E+00,5.644
63,Eu,Europium,0.41457,580,5.24E+00,5.67
64,Gd,Gadolinium,0.40699,591,7.90E+00,6.15
65,Tb,Terbium,0.409,614,8.23E+00,5.864
66,Dy,Dysprosium,0.40615,628,8.55E+00,5.939
67,Ho,Holmium,0.40623,650,8.80E+00,6.022
68,Er,Erbium,0.40655,658,9.07E+00,6.108
69,Tm,Thulium,0.40844,674,9.32E+00,6.184
70,Yb,Ytterbium,0.40453,684,6.73E+00,6.254
71,Lu,Lutetium,0.40579,694,9.84E+00,5.426
72,Hf,Hafnium,0.40338,705,1.33E+01,6.825
73,Ta,Tantalum,0.40343,718,1.67E+01,7.55
74,W,Tungsten,0.4025,727,1.93E+01,7.864
75,Re,Rhenium,0.40278,736,2.10E+01,7.834
76,Os,Osmium,0.39958,746,2.26E+01,8.438
77,Ir,Iridium,0.40058,757,2.24E+01,8.967
78,Pt,Platinum,0.39984,790,2.15E+01,8.959
79,Au,Gold,0.40108,790,1.93E+01,9.226
80,Hg,Mercury,0.39882,800,1.36E+01,10.438
81,Tl,Thallium,0.39631,810,1.17E+01,6.108
82,Pb,Lead,0.39575,823,1.14E+01,7.417
83,Bi,Bismuth,0.39717,823,9.75E+00,7.286
84,Po,Polonium,0.40195,830,9.32E+00,8.417
85,At,Astatine,0.40479,825,1.00E+01,9.31751
86,Rn,Radon,0.38736,794,9.07E-03,10.748
87,Fr,Francium,0.3901,827,1.00E+01,4.073
88,Ra,Radium,0.38934,826,5.00E+00,5.278
89,Ac,Actinium,0.39202,841,1.01E+01,5.17
90,Th,Thorium,0.38787,847,1.17E+01,6.307
91,Pa,Protactinium,0.39388,878,1.54E+01,5.89
92,U,Uranium,0.38651,890,1.90E+01,6.194
