energy,z,transition,intensity
4347.8,51,Lγ1,8
4414.0,54,Lβ1,60
4450.9,56,Lα2,11
4453.2,59,Ll,4
4460.5,21,"Kβ1,3 ",15
4466.3,56,Lα1,100
4504.9,22,Kα2,50
4507.5,53,"Lβ2,15 ",19
4510.8,22,Kα1,100
4570.9,52,Lγ1,8
4619.8,55,Lβ1,61
4633.0,60,Ll,4
4634.2,57,Lα2,11
4651.0,57,Lα1,100
4714.0,54,"Lβ2,15 ",20
4800.9,53,Lγ1,8
4809.0,61,Ll,4
4823.0,58,Lα2,11
4827.5,56,Lβ1,60
4840.2,58,Lα1,100
4931.8,22,"Kβ1,3 ",15
4935.9,55,"Lβ2,15 ",20
4944.6,23,Kα2,50
4952.2,23,Kα1,100
4994.5,62,Ll,4
5013.5,59,Lα2,11
5033.7,59,Lα1,100
5034.0,54,Lγ1,8
5042.1,57,Lβ1,60
5156.5,56,"Lβ2,15 ",20
5177.2,63,Ll,4
5207.7,60,Lα2,11
5230.4,60,Lα1,100
5262.2,58,Lβ1,61
5280.4,55,Lγ1,8
5362.1,64,Ll,4
5383.5,57,"Lβ2,15 ",21
5405.5,24,Kα2,50
5408.0,61,Lα2,11
5414.7,24,Kα1,100
5427.3,23,"Kβ1,3 ",15
5432.0,61,Lα1,100
5488.9,59,Lβ1,61
5531.1,56,Lγ1,9
5546.7,65,Ll,4
5609.0,62,Lα2,11
5613.4,58,"Lβ2,15 ",21
5636.1,62,Lα1,100
5721.6,60,Lβ1,60
5743.1,66,Ll,4
5788.5,57,Lγ1,9
5816.6,63,Lα2,11
5845.7,63,Lα1,100
5850.0,59,"Lβ2,15 ",21
5887.6,25,Kα2,50
5898.8,25,Kα1,100
5943.4,67,Ll,4
5946.7,24,"Kβ1,3 ",15
5961.0,61,Lβ1,61
6025.0,64,Lα2,11
6052.0,58,Lγ1,9
6057.2,64,Lα1,100
6089.4,60,"Lβ2,15 ",21
6152.0,68,Ll,4
6205.1,62,Lβ1,61
6238.0,65,Lα2,11
6272.8,65,Lα1,100
6322.1,59,Lγ1,9
6339.0,61,Lβ2,21
6341.9,69,Ll,4
6390.8,26,Kα2,50
6403.8,26,Kα1,100
6456.4,63,Lβ1,62
6457.7,66,Lα2,11
6490.4,25,"Kβ1,3 ",17
6495.2,66,Lα1,100
6545.5,70,Ll,4
6587.0,62,"Lβ2,15 ",21
6602.1,60,Lγ1,10
6679.5,67,Lα2,11
6713.2,64,Lβ1,62
6719.8,67,Lα1,100
6752.8,71,Ll,4
6843.2,63,"Lβ2,15 ",21
6892.0,61,Lγ1,10
6905.0,68,Lα2,11
6915.3,27,Kα2,51
6930.3,27,Kα1,100
6948.7,68,Lα1,100
6959.6,72,Ll,5
6978.0,65,Lβ1,61
7058.0,26,"Kβ1,3 ",17
7102.8,64,"Lβ2,15 ",21
7133.1,69,Lα2,11
7173.1,73,Ll,5
7178.0,62,Lγ1,10
7179.9,69,Lα1,100
7247.7,66,Lβ1,62
7366.7,65,"Lβ2,15 ",21
7367.3,70,Lα2,11
7387.8,74,Ll,5
7415.6,70,Lα1,100
7460.9,28,Kα2,51
7478.2,28,Kα1,100
7480.3,63,Lγ1,10
7525.3,67,Lβ1,64
7603.6,75,Ll,5
7604.9,71,Lα2,11
7635.7,66,Lβ2,20
7649.4,27,"Kβ1,3 ",17
7655.5,71,Lα1,100
7785.8,64,Lγ1,11
7810.9,68,Lβ1,64
7822.2,76,Ll,5
7844.6,72,Lα2,11
7899.0,72,Lα1,100
7911.0,67,"Lβ2,15 ",20
8027.8,29,Kα2,51
8045.8,77,Ll,5
8047.8,29,Kα1,100
8087.9,73,,11
8101.0,69,Lβ1,64
8102.0,65,Lγ1,11
8146.1,73,Lα1,100
8189.0,68,"Lβ2,15 ",20
8264.7,28,"Kβ1,3 ",17
8268.0,78,Ll,5
8335.2,74,Lα2,11
8397.6,74,Lα1,100
8401.8,70,Lβ1,65
8418.8,66,Lγ1,11
8468.0,69,"Lβ2,15 ",20
8493.9,79,Ll,5
8586.2,75,Lα2,11
8615.8,30,Kα2,51
8638.9,30,Kα1,100
8652.5,75,Lα1,100
8709.0,71,Lβ1,66
8721.0,80,Ll,5
8747.0,67,Lγ1,11
8758.8,70,"Lβ2,15 ",20
8841.0,76,Lα2,11
8905.3,29,"Kβ1,3 ",17
8911.7,76,Lα1,100
8953.2,81,Ll,6
9022.7,72,Lβ1,67
9048.9,71,Lβ2,19
9089.0,68,Lγ1,11
9099.5,77,Lα2,11
9175.1,77,Lα1,100
9184.5,82,Ll,6
9224.8,31,Kα2,51
9251.7,31,Kα1,100
9343.1,73,Lβ1,67
9347.3,72,Lβ2,20
9361.8,78,Lα2,11
9420.4,83,Ll,6
9426.0,69,Lγ1,12
9442.3,78,Lα1,100
9572.0,30,"Kβ1,3 ",17
9628.0,79,Lα2,11
9651.8,73,Lβ2,20
9672.4,74,Lβ1,67
9713.3,79,Lα1,100
9780.1,70,Lγ1,12
9855.3,32,Kα2,51
9886.4,32,Kα1,100
9897.6,80,Lα2,11
9961.5,74,Lβ2,21
9988.8,80,Lα1,100
10010.0,75,Lβ1,66
10143.4,71,Lγ1,12
10172.8,81,Lα2,11
10260.3,31,Kβ3,5
10264.2,31,Kβ1,66
10268.5,81,Lα1,100
10275.2,75,Lβ2,22
10355.3,76,Lβ1,67
10449.5,82,Lα2,11
10508.0,33,Kα2,51
10515.8,72,Lγ1,12
10543.7,33,Kα1,100
10551.5,82,Lα1,100
10598.5,76,Lβ2,22
10708.3,77,Lβ1,66
10730.9,83,Lα2,11
10838.8,83,Lα1,100
10895.2,73,Lγ1,12
10920.3,77,Lβ2,22
10978.0,32,Kβ3,6
10982.1,32,Kβ1,60
11070.7,78,Lβ1,67
11118.6,90,Ll,6
11181.4,34,Kα2,52
11222.4,34,Kα1,100
11250.5,78,Lβ2,23
11285.9,74,Lγ1,13
11442.3,79,Lβ1,67
11584.7,79,Lβ2,23
11618.3,92,Ll,7
11685.4,75,Lγ1,13
11720.3,33,Kβ3,6
11726.2,33,Kβ1,13
11822.6,80,Lβ1,67
11864.0,33,Kβ2,1
11877.6,35,Kα2,52
11924.1,80,Lβ2,24
11924.2,35,Kα1,100
12095.3,76,Lγ1,13
12213.3,81,Lβ1,67
12271.5,81,Lβ2,25
12489.6,34,Kβ3,6
12495.9,34,Kβ1,13
12512.6,77,Lγ1,13
12598.0,36,Kα2,52
12613.7,82,Lβ1,66
12622.6,82,Lβ2,25
12649.0,36,Kα1,100
12652.0,34,Kβ2,1
12809.6,90,Lα2,11
12942.0,78,Lγ1,13
12968.7,90,Lα1,100
12979.9,83,Lβ2,25
13023.5,83,Lβ1,67
13284.5,35,Kβ3,7
13291.4,35,Kβ1,14
13335.8,37,Kα2,52
13381.7,79,Lγ1,13
13395.3,37,Kα1,100
13438.8,92,Lα2,11
13469.5,35,Kβ2,1
13614.7,92,Lα1,100
13830.1,80,Lγ1,14
14097.9,38,Kα2,52
14104.0,36,Kβ3,7
14112.0,36,Kβ1,14
14165.0,38,Kα1,100
14291.5,81,Lγ1,14
14315.0,36,Kβ2,2
14764.4,82,Lγ1,14
14882.9,39,Kα2,52
14951.7,37,Kβ3,7
14958.4,39,Kα1,100
14961.3,37,Kβ1,14
15185.0,37,Kβ2,2
15247.7,83,Lγ1,14
15623.7,90,Lβ2,26
15690.9,40,Kα2,52
15775.1,40,Kα1,100
15824.9,38,Kβ3,7
15835.7,38,Kβ1,14
16084.6,38,Kβ2,3
16202.2,90,Lβ1,69
16428.3,92,Lβ2,26
16521.0,41,Kα2,52
16615.1,41,Kα1,100
16725.8,39,Kβ3,8
16737.8,39,Kβ1,15
17015.4,39,Kβ2,3
17220.0,92,Lβ1,61
17374.3,42,Kα2,52
17479.3,42,Kα1,100
17654.0,40,Kβ3,8
17667.8,40,Kβ1,15
17970.0,40,Kβ2,3
18250.8,43,Kα2,53
18367.1,43,Kα1,100
18606.3,41,Kβ3,8
18622.5,41,Kβ1,15
18953.0,41,Kβ2,3
18982.5,90,Lγ1,16
