Nuclide ; Fr-223 
Element ; Francium
Z ; 87
Daughter(s) ; (B-) ; Ra-223 ; 99.98 ; (alpha) ; At-219 ; 0.02
Q- ; 1149.2 ; Qalpha ; 5562
Possible parent(s) ; (alpha) ; Ac-227 ; 1.38
Half-life (min) ; 22.00 ; 0.07
Half-life (s) ; 1.3200E3 ; 0.0042E3
Decay constant (1/s) ; 525.1E-6 ; 1.7E-6
Specific activity (Bq/g) ; 1.4181E18 ; 0.0045E18
Reference ; CNDC - 2010
Emissions (140 lines) sorted by increasing energy
----------------------------------------------------------------------------------------------------------
Energy (keV) ; Ener. unc. (keV) ; Intensity (%) ; Int. unc. (%) ; Type ; Origin ; Lvl. start ; Lvl. end
444.5 ; 0.3 ; 0.0011 ; 0.0004 ; g ; Ra-223 ; 17 ; 11
452.9 ; 0.2 ; 0.0016 ;  ; g ; Ra-223 ;  ; 
457.5 ; 0.2 ; 0.0008 ;  ; g ; Ra-223 ; 17 ; 9
469.3 ; 0.2 ; 0.002 ;  ; g ; Ra-223 ;  ; 
475.4 ; 0.1 ; 0.0057 ;  ; g ; Ra-223 ;  ; 
480.9 ; 0.3 ; 0.0013 ; 0.0004 ; g ; Ra-223 ; 20 ; 11
493.4 ; 0.2 ; 0.0024 ; 0.0007 ; g ; Ra-223 ; 20 ; 9
506.9 ; 0.2 ; 0.0022 ; 0.0007 ; g ; Ra-223 ; 17 ; 7
516.7 ; 0.2 ; 0.0032 ; 0.0008 ; g ; Ra-223 ; 23 ; 9
524.8 ; 0.2 ; 0.0043 ; 0.0012 ; g ; Ra-223 ; 24 ; 11
533.1 ; 0.3 ; 0.0019 ; 0.0007 ; g ; Ra-223 ; 24 ; 10
537.2 ; 0.2 ; 0.0051 ;  ; g ; Ra-223 ;  ; 
539.8 ; 0.2 ; 0.0059 ; 0.0018 ; g ; Ra-223 ; 21 ; 8
545.4 ; 0.4 ; 0.00030 ; 0.00008 ; g ; Ra-223 ; 21 ; 7
552.3 ; 0.2 ; 0.0027 ; 0.0008 ; g ; Ra-223 ; 17 ; 6
556.3 ; 0.3 ; 0.0011 ; 0.0004 ; g ; Ra-223 ; 22 ; 8
569.03 ; 0.08 ; 0.049 ; 0.011 ; g ; Ra-223 ; 18 ; 6
576.1 ; 0.4 ; 0.0011 ; 0.0004 ; g ; Ra-223 ; 25 ; 9
581.3 ; 0.4 ; 0.0013 ; 0.0004 ; g ; Ra-223 ; 24 ; 8
592.3 ; 0.2 ; 0.0032 ; 0.0010 ; g ; Ra-223 ; 26 ; 10
596.9 ; 0.4 ; 0.0008 ; 0.0003 ; g ; Ra-223 ; 26 ; 9
600.7 ; 0.4 ; 0.00054 ; 0.00014 ; g ; Ra-223 ; 28 ; 11
607.6 ; 0.3 ; 0.0022 ; 0.0007 ; g ; Ra-223 ; 22 ; 6
613.6 ; 0.4 ; 0.0011 ; 0.0004 ; g ; Ra-223 ; 28 ; 9
632.7 ; 0.3 ; 0.0022 ; 0.0007 ; g ; Ra-223 ; 24 ; 6
663.7 ; 0.3 ; 0.0011 ; 0.0004 ; g ; Ra-223 ; 17 ; 5
