Nuclide ; Sn-129m 
Element ; Tin
Z ; 50
Daughter(s) ; (B-) ; Sb-129 ; 100
Q- ; 4074
Half-life (min) ; 6.96 ; 0.09
Half-life (s) ; 418 ; 5
Decay constant (1/s) ; 1.660E-3 ; 0.021E-3
Specific activity (Bq/g) ; 7.75E18 ; 0.10E18
Reference ; LNE-LNHB - 2024
X and gamma emissions (101 lines) sorted by increasing energy
------------------------------------------------------------------------------------------------------------------
Energy (keV) ; Ener. unc. (keV) ; Intensity (%) ; Int. unc. (%) ; Type ; Origin ; Lvl. start ; Lvl. end
688.97 ; 0.09 ; 1.101 ; 0.026 ; g ; Sb-129 ; 29 ; 6 ; 
695.19 ; 0.09 ; 2.616 ; 0.026 ; g ; Sb-129 ; 34 ; 11 ; 
699.62 ; 0.40 ; 0.993 ; 0.022 ; g ; Sb-129 ; 4 ; 2 ; 
716.04 ; 0.16 ; 2.516 ; 0.026 ; g ; Sb-129 ; 38 ; 12 ; 
732.41 ; 0.06 ; 0.4710 ; 0.0042 ; g ; Sb-129 ; 4 ; 1 ; 
760.87 ; 0.06 ; 20.4 ; 2.2 ; g ; Sb-129 ; 6 ; 2 ; 
782.55 ; 0.06 ; 13.884 ; 0.043 ; g ; Sb-129 ; 5 ; 1 ; 
827.4 ; 0.8 ; 0.548 ; 0.026 ; g ; Sb-129 ; 47 ; 20 ; 
844.58 ; 0.11 ; 0.60 ; 0.09 ; g ; Sb-129 ; 35 ; 6 ; 
850.34 ; 0.15 ; 0.151 ; 0.009 ; g ; Sb-129 ; 37 ; 9 ; 
891.61 ; 0.13 ; 0.647 ; 0.043 ; g ; Sb-129 ; 50 ; 21 ; 
902.37 ; 0.06 ; 4.575 ; 0.043 ; g ; Sb-129 ; 11 ; 1 ; 
962.01 ; 0.11 ; 0.0388 ; 0.0043 ; g ; Sb-129 ; 40 ; 6 ; 
1059.20 ; 0.22 ; 0.609 ; 0.017 ; g ; Sb-129 ; 44 ; 9 ; 
1066.00 ; 0.21 ; 0.501 ; 0.026 ; g ; Sb-129 ; 46 ; 11 ; 
1128.555 ; 0.040 ; 34.97 ; 0.06 ; g ; Sb-129 ; 1 ; 0 ; 
1141.90 ; 0.08 ; 1.86 ; 0.17 ; g ; Sb-129 ; 20 ; 2 ; 
1147.69 ; 0.09 ; 0.919 ; 0.022 ; g ; Sb-129 ; 45 ; 6 ; 
